Username,Repo Name,Repo URL,Stars
mrdoob,three.js,https://github.com/topics/mrdoob/three.js,92600
pmndrs,react-three-fiber,https://github.com/topics/pmndrs/react-three-fiber,22900
libgdx,libgdx,https://github.com/topics/libgdx/libgdx,21600
BabylonJS,Babylon.js,https://github.com/topics/BabylonJS/Babylon.js,20800
ssloy,tinyrenderer,https://github.com/topics/ssloy/tinyrenderer,17100
lettier,3d-game-shaders-for-beginners,https://github.com/topics/lettier/3d-game-shaders-for-beginners,15600
aframevr,aframe,https://github.com/topics/aframevr/aframe,15400
FreeCAD,FreeCAD,https://github.com/topics/FreeCAD/FreeCAD,14200
CesiumGS,cesium,https://github.com/topics/CesiumGS/cesium,10500
metafizzy,zdog,https://github.com/topics/metafizzy/zdog,9800
isl-org,Open3D,https://github.com/topics/isl-org/Open3D,9000
timzhang642,3D-Machine-Learning,https://github.com/topics/timzhang642/3D-Machine-Learning,8900
blender,blender,https://github.com/topics/blender/blender,8700
a1studmuffin,SpaceshipGenerator,https://github.com/topics/a1studmuffin/SpaceshipGenerator,7400
domlysz,BlenderGIS,https://github.com/topics/domlysz/BlenderGIS,6400
FyroxEngine,Fyrox,https://github.com/topics/FyroxEngine/Fyrox,6200
google,model-viewer,https://github.com/topics/google/model-viewer,5700
openscad,openscad,https://github.com/topics/openscad/openscad,5700
nerfstudio-project,nerfstudio,https://github.com/topics/nerfstudio-project/nerfstudio,5400
spritejs,spritejs,https://github.com/topics/spritejs/spritejs,5200
