Username,Repo Name,Repo URL,Stars
public-apis,public-apis,https://github.com/topics/public-apis/public-apis,243000
neovim,neovim,https://github.com/topics/neovim/neovim,66600
tiangolo,fastapi,https://github.com/topics/tiangolo/fastapi,59100
strapi,strapi,https://github.com/topics/strapi/strapi,54300
hoppscotch,hoppscotch,https://github.com/topics/hoppscotch/hoppscotch,51900
ocornut,imgui,https://github.com/topics/ocornut/imgui,48100
meilisearch,meilisearch,https://github.com/topics/meilisearch/meilisearch,37000
slatedocs,slate,https://github.com/topics/slatedocs/slate,35200
hasura,graphql-engine,https://github.com/topics/hasura/graphql-engine,29900
Kong,insomnia,https://github.com/topics/Kong/insomnia,28500
ccxt,ccxt,https://github.com/topics/ccxt/ccxt,28400
Binaryify,NeteaseCloudMusicApi,https://github.com/topics/Binaryify/NeteaseCloudMusicApi,28300
httpie,httpie,https://github.com/topics/httpie/httpie,28100
trpc,trpc,https://github.com/topics/trpc/trpc,26400
YMFE,yapi,https://github.com/topics/YMFE/yapi,26200
encode,django-rest-framework,https://github.com/topics/encode/django-rest-framework,25700
littlecodersh,ItChat,https://github.com/topics/littlecodersh/ItChat,24000
directus,directus,https://github.com/topics/directus/directus,21900
microsoft,api-guidelines,https://github.com/topics/microsoft/api-guidelines,21500
paularmstrong,normalizr,https://github.com/topics/paularmstrong/normalizr,21000
