Username,Repo Name,Repo URL,Stars
bitwarden,server,https://github.com/topics/bitwarden/server,12700
dotnet,AspNetCore.Docs,https://github.com/topics/dotnet/AspNetCore.Docs,11700
aspnetboilerplate,aspnetboilerplate,https://github.com/topics/aspnetboilerplate/aspnetboilerplate,11100
abpframework,abp,https://github.com/topics/abpframework/abp,10000
nopSolutions,nopCommerce,https://github.com/topics/nopSolutions/nopCommerce,8200
ElectronNET,Electron.NET,https://github.com/topics/ElectronNET/Electron.NET,6800
thangchung,clean-code-dotnet,https://github.com/topics/thangchung/clean-code-dotnet,6100
RicoSuter,NSwag,https://github.com/topics/RicoSuter/NSwag,5900
FastEndpoints,FastEndpoints,https://github.com/topics/FastEndpoints/FastEndpoints,2900
dotnet,aspnet-api-versioning,https://github.com/topics/dotnet/aspnet-api-versioning,2700
smartstore,SmartStoreNET,https://github.com/topics/smartstore/SmartStoreNET,2600
JimBobSquarePants,ImageProcessor,https://github.com/topics/JimBobSquarePants/ImageProcessor,2500
serenity-is,Serenity,https://github.com/topics/serenity-is/Serenity,2400
loic-sharma,BaGet,https://github.com/topics/loic-sharma/BaGet,2300
mjebrahimi,Awesome-Microservices-DotNet,https://github.com/topics/mjebrahimi/Awesome-Microservices-DotNet,2300
TrilonIO,aspnetcore-angular-universal,https://github.com/topics/TrilonIO/aspnetcore-angular-universal,1500
TrilonIO,aspnetcore-Vue-starter,https://github.com/topics/TrilonIO/aspnetcore-Vue-starter,1200
MarimerLLC,csla,https://github.com/topics/MarimerLLC/csla,1100
antonioCoco,SharPyShell,https://github.com/topics/antonioCoco/SharPyShell,78
riganti,dotvvm,https://github.com/topics/riganti/dotvvm,68
