Username,Repo Name,Repo URL,Stars
jwasham,coding-interview-university,https://github.com/topics/jwasham/coding-interview-university,259000
trekhleb,javascript-algorithms,https://github.com/topics/trekhleb/javascript-algorithms,171000
CyC2018,CS-Notes,https://github.com/topics/CyC2018/CS-Notes,165000
TheAlgorithms,Python,https://github.com/topics/TheAlgorithms/Python,160000
yangshun,tech-interview-handbook,https://github.com/topics/yangshun/tech-interview-handbook,91900
kdn251,interviews,https://github.com/topics/kdn251/interviews,60000
TheAlgorithms,Java,https://github.com/topics/TheAlgorithms/Java,52300
azl397985856,leetcode,https://github.com/topics/azl397985856/leetcode,51400
algorithm-visualizer,algorithm-visualizer,https://github.com/topics/algorithm-visualizer/algorithm-visualizer,43000
youngyangyang04,leetcode-master,https://github.com/topics/youngyangyang04/leetcode-master,39400
halfrost,LeetCode-Go,https://github.com/topics/halfrost/LeetCode-Go,29800
huihut,interview,https://github.com/topics/huihut/interview,29200
donnemartin,interactive-coding-challenges,https://github.com/topics/donnemartin/interactive-coding-challenges,27400
crossoverJie,JCSprout,https://github.com/topics/crossoverJie/JCSprout,27000
TheAlgorithms,JavaScript,https://github.com/topics/TheAlgorithms/JavaScript,26800
TheAlgorithms,C-Plus-Plus,https://github.com/topics/TheAlgorithms/C-Plus-Plus,24700
keon,algorithms,https://github.com/topics/keon/algorithms,22700
mxgmn,WaveFunctionCollapse,https://github.com/topics/mxgmn/WaveFunctionCollapse,21400
trekhleb,homemade-machine-learning,https://github.com/topics/trekhleb/homemade-machine-learning,21400
AtsushiSakai,PythonRobotics,https://github.com/topics/AtsushiSakai/PythonRobotics,18900
