Username,Repo Name,Repo URL,Stars
flutter,flutter,https://github.com/topics/flutter/flutter,154000
facebook,react-native,https://github.com/topics/facebook/react-native,110000
justjavac,free-programming-books-zh_CN,https://github.com/topics/justjavac/free-programming-books-zh_CN,103000
Genymobile,scrcpy,https://github.com/topics/Genymobile/scrcpy,85700
Hack-with-Github,Awesome-Hacking,https://github.com/topics/Hack-with-Github/Awesome-Hacking,65900
google,material-design-icons,https://github.com/topics/google/material-design-icons,48200
Solido,awesome-flutter,https://github.com/topics/Solido/awesome-flutter,47200
wasabeef,awesome-android-ui,https://github.com/topics/wasabeef/awesome-android-ui,46600
square,okhttp,https://github.com/topics/square/okhttp,44100
android,architecture-samples,https://github.com/topics/android/architecture-samples,42800
square,retrofit,https://github.com/topics/square/retrofit,41600
dcloudio,uni-app,https://github.com/topics/dcloudio/uni-app,38200
fastlane,fastlane,https://github.com/topics/fastlane/fastlane,37200
PhilJay,MPAndroidChart,https://github.com/topics/PhilJay/MPAndroidChart,36600
laurent22,joplin,https://github.com/topics/laurent22/joplin,36300
skylot,jadx,https://github.com/topics/skylot/jadx,34900
airbnb,lottie-android,https://github.com/topics/airbnb/lottie-android,34000
shadowsocks,shadowsocks-android,https://github.com/topics/shadowsocks/shadowsocks-android,33700
bumptech,glide,https://github.com/topics/bumptech/glide,33700
xitu,gold-miner,https://github.com/topics/xitu/gold-miner,32500
