Username,Repo Name,Repo URL,Stars
justjavac,free-programming-books-zh_CN,https://github.com/topics/justjavac/free-programming-books-zh_CN,103000
angular,angular,https://github.com/topics/angular/angular,88600
storybookjs,storybook,https://github.com/topics/storybookjs/storybook,79100
leonardomso,33-js-concepts,https://github.com/topics/leonardomso/33-js-concepts,56500
ionic-team,ionic-framework,https://github.com/topics/ionic-team/ionic-framework,49100
prettier,prettier,https://github.com/topics/prettier/prettier,45700
Asabeneh,30-Days-Of-JavaScript,https://github.com/topics/Asabeneh/30-Days-Of-JavaScript,36500
SheetJS,sheetjs,https://github.com/topics/SheetJS/sheetjs,33000
angular,angular-cli,https://github.com/topics/angular/angular-cli,26100
angular,components,https://github.com/topics/angular/components,23500
NativeScript,NativeScript,https://github.com/topics/NativeScript/NativeScript,22600
goldbergyoni,javascript-testing-best-practices,https://github.com/topics/goldbergyoni/javascript-testing-best-practices,21600
jhipster,generator-jhipster,https://github.com/topics/jhipster/generator-jhipster,20600
pubkey,rxdb,https://github.com/topics/pubkey/rxdb,19300
nrwl,nx,https://github.com/topics/nrwl/nx,17800
teambit,bit,https://github.com/topics/teambit/bit,16700
wailsapp,wails,https://github.com/topics/wailsapp/wails,16400
sudheerj,javascript-interview-questions,https://github.com/topics/sudheerj/javascript-interview-questions,16300
sweetalert2,sweetalert2,https://github.com/topics/sweetalert2/sweetalert2,16000
codesandbox,codesandbox-client,https://github.com/topics/codesandbox/codesandbox-client,12400
