Username,Repo Name,Repo URL,Stars
ansible,ansible,https://github.com/topics/ansible/ansible,57700
bregman-arie,devops-exercises,https://github.com/topics/bregman-arie/devops-exercises,44200
trailofbits,algo,https://github.com/topics/trailofbits/algo,27300
StreisandEffect,streisand,https://github.com/topics/StreisandEffect/streisand,23000
MichaelCade,90DaysOfDevOps,https://github.com/topics/MichaelCade/90DaysOfDevOps,22900
kubernetes-sigs,kubespray,https://github.com/topics/kubernetes-sigs/kubespray,14100
ansible,awx,https://github.com/topics/ansible/awx,12300
easzlab,kubeasz,https://github.com/topics/easzlab/kubeasz,9200
geerlingguy,ansible-for-devops,https://github.com/topics/geerlingguy/ansible-for-devops,7000
khuedoan,homelab,https://github.com/topics/khuedoan/homelab,6900
Tikam02,DevOps-Guide,https://github.com/topics/Tikam02/DevOps-Guide,6800
ansible-semaphore,semaphore,https://github.com/topics/ansible-semaphore/semaphore,6800
geerlingguy,mac-dev-playbook,https://github.com/topics/geerlingguy/mac-dev-playbook,5300
rundeck,rundeck,https://github.com/topics/rundeck/rundeck,5000
KubeOperator,KubeOperator,https://github.com/topics/KubeOperator/KubeOperator,4700
clong,DetectionLab,https://github.com/topics/clong/DetectionLab,4200
netbootxyz,netboot.xyz,https://github.com/topics/netbootxyz/netboot.xyz,4100
litmuschaos,litmus,https://github.com/topics/litmuschaos/litmus,3700
ansible-community,molecule,https://github.com/topics/ansible-community/molecule,3600
opendevops-cn,opendevops,https://github.com/topics/opendevops-cn/opendevops,3400
