Username,Repo Name,Repo URL,Stars
arendst,Tasmota,https://github.com/topics/arendst/Tasmota,19800
MarlinFirmware,Marlin,https://github.com/topics/MarlinFirmware/Marlin,14900
arduino,Arduino,https://github.com/topics/arduino/Arduino,13600
rwaldron,johnny-five,https://github.com/topics/rwaldron/johnny-five,13000
tinygo-org,tinygo,https://github.com/topics/tinygo-org/tinygo,12900
SpacehuhnTech,esp8266_deauther,https://github.com/topics/SpacehuhnTech/esp8266_deauther,11800
espressif,arduino-esp32,https://github.com/topics/espressif/arduino-esp32,10900
gurugio,lowlevelprogramming-university,https://github.com/topics/gurugio/lowlevelprogramming-university,8500
hybridgroup,gobot,https://github.com/topics/hybridgroup/gobot,8300
platformio,platformio-core,https://github.com/topics/platformio/platformio-core,6800
bblanchon,ArduinoJson,https://github.com/topics/bblanchon/ArduinoJson,6200
tzapu,WiFiManager,https://github.com/topics/tzapu/WiFiManager,5900
olikraus,u8g2,https://github.com/topics/olikraus/u8g2,4000
Arduino-IRremote,Arduino-IRremote,https://github.com/topics/Arduino-IRremote/Arduino-IRremote,4000
hybridgroup,cylon,https://github.com/topics/hybridgroup/cylon,4000
ClemensElflein,OpenMower,https://github.com/topics/ClemensElflein/OpenMower,4000
arduino,arduino-cli,https://github.com/topics/arduino/arduino-cli,3900
blynkkk,blynk-library,https://github.com/topics/blynkkk/blynk-library,3700
NerdLang,nerd,https://github.com/topics/NerdLang/nerd,3500
Serial-Studio,Serial-Studio,https://github.com/topics/Serial-Studio/Serial-Studio,3400
