Username,Repo Name,Repo URL,Stars
atom,atom,https://github.com/topics/atom/atom,59400
miniflux,v2,https://github.com/topics/miniflux/v2,5200
themerdev,themer,https://github.com/topics/themerdev/themer,5200
shd101wyy,markdown-preview-enhanced,https://github.com/topics/shd101wyy/markdown-preview-enhanced,3900
nteract,hydrogen,https://github.com/topics/nteract/hydrogen,3900
atom,teletype,https://github.com/topics/atom/teletype,2400
mmcdole,gofeed,https://github.com/topics/mmcdole/gofeed,2200
NaiboWang,CommandlineConfig,https://github.com/topics/NaiboWang/CommandlineConfig,2000
mehcode,awesome-atom,https://github.com/topics/mehcode/awesome-atom,1900
feeddd,feeds,https://github.com/topics/feeddd/feeds,1800
kurtmckee,feedparser,https://github.com/topics/kurtmckee/feedparser,1600
joefitzgerald,go-plus,https://github.com/topics/joefitzgerald/go-plus,1500
Glavin001,atom-beautify,https://github.com/topics/Glavin001/atom-beautify,1500
simplepie,simplepie,https://github.com/topics/simplepie/simplepie,1500
ocaml,merlin,https://github.com/topics/ocaml/merlin,1500
t9md,atom-vim-mode-plus,https://github.com/topics/t9md/atom-vim-mode-plus,1400
MagicStack,MagicPython,https://github.com/topics/MagicStack/MagicPython,1400
atom,apm,https://github.com/topics/atom/apm,1300
file-icons,atom,https://github.com/topics/file-icons/atom,1300
fwcd,kotlin-language-server,https://github.com/topics/fwcd/kotlin-language-server,1200
