Username,Repo Name,Repo URL,Stars
sindresorhus,awesome,https://github.com/topics/sindresorhus/awesome,258000
vinta,awesome-python,https://github.com/topics/vinta/awesome-python,171000
awesome-selfhosted,awesome-selfhosted,https://github.com/topics/awesome-selfhosted/awesome-selfhosted,136000
avelino,awesome-go,https://github.com/topics/avelino/awesome-go,103000
trimstray,the-book-of-secret-knowledge,https://github.com/topics/trimstray/the-book-of-secret-knowledge,100000
papers-we-love,papers-we-love,https://github.com/topics/papers-we-love/papers-we-love,73400
521xueweihan,HelloGitHub,https://github.com/topics/521xueweihan/HelloGitHub,70000
Hack-with-Github,Awesome-Hacking,https://github.com/topics/Hack-with-Github/Awesome-Hacking,65900
jaywcjlove,awesome-mac,https://github.com/topics/jaywcjlove/awesome-mac,61200
enaqx,awesome-react,https://github.com/topics/enaqx/awesome-react,56100
DopplerHQ,awesome-interview-questions,https://github.com/topics/DopplerHQ/awesome-interview-questions,55800
MunGell,awesome-for-beginners,https://github.com/topics/MunGell/awesome-for-beginners,52100
sindresorhus,awesome-nodejs,https://github.com/topics/sindresorhus/awesome-nodejs,51500
prakhar1989,awesome-courses,https://github.com/topics/prakhar1989/awesome-courses,47600
Solido,awesome-flutter,https://github.com/topics/Solido/awesome-flutter,47200
fffaraz,awesome-cpp,https://github.com/topics/fffaraz/awesome-cpp,46900
wasabeef,awesome-android-ui,https://github.com/topics/wasabeef/awesome-android-ui,46600
binhnguyennus,awesome-scalability,https://github.com/topics/binhnguyennus/awesome-scalability,45500
vsouza,awesome-ios,https://github.com/topics/vsouza/awesome-ios,43100
tiimgreen,github-cheat-sheet,https://github.com/topics/tiimgreen/github-cheat-sheet,41300
