Username,Repo Name,Repo URL,Stars
bregman-arie,devops-exercises,https://github.com/topics/bregman-arie/devops-exercises,44200
pulumi,pulumi,https://github.com/topics/pulumi/pulumi,16200
microsoft,recommenders,https://github.com/topics/microsoft/recommenders,15800
ramitsurana,awesome-kubernetes,https://github.com/topics/ramitsurana/awesome-kubernetes,14000
mozilla,sops,https://github.com/topics/mozilla/sops,13100
Azure,azure-quickstart-templates,https://github.com/topics/Azure/azure-quickstart-templates,13000
caprover,caprover,https://github.com/topics/caprover/caprover,10500
infracost,infracost,https://github.com/topics/infracost/infracost,9200
google,go-cloud,https://github.com/topics/google/go-cloud,9100
microsoft,computervision-recipes,https://github.com/topics/microsoft/computervision-recipes,9000
prowler-cloud,prowler,https://github.com/topics/prowler-cloud/prowler,8200
microsoft,azuredatastudio,https://github.com/topics/microsoft/azuredatastudio,7200
Netflix,metaflow,https://github.com/topics/Netflix/metaflow,6700
midwayjs,midway,https://github.com/topics/midwayjs/midway,6700
node-formidable,formidable,https://github.com/topics/node-formidable/formidable,6700
thangchung,clean-code-dotnet,https://github.com/topics/thangchung/clean-code-dotnet,6100
aquasecurity,tfsec,https://github.com/topics/aquasecurity/tfsec,6000
budtmo,docker-android,https://github.com/topics/budtmo/docker-android,5800
bridgecrewio,checkov,https://github.com/topics/bridgecrewio/checkov,5700
nccgroup,ScoutSuite,https://github.com/topics/nccgroup/ScoutSuite,5400
