Username,Repo Name,Repo URL,Stars
babel,babel,https://github.com/topics/babel/babel,42300
swc-project,swc,https://github.com/topics/swc-project/swc,27600
nylas,nylas-mail,https://github.com/topics/nylas/nylas-mail,24700
electron-react-boilerplate,electron-react-boilerplate,https://github.com/topics/electron-react-boilerplate/electron-react-boilerplate,21400
avajs,ava,https://github.com/topics/avajs/ava,20400
SimulatedGREG,electron-vue,https://github.com/topics/SimulatedGREG/electron-vue,15300
grab,front-end-guide,https://github.com/topics/grab/front-end-guide,14900
jamiebuilds,babel-handbook,https://github.com/topics/jamiebuilds/babel-handbook,11700
developit,htm,https://github.com/topics/developit/htm,8200
grommet,grommet,https://github.com/topics/grommet/grommet,8200
ben-rogerson,twin.macro,https://github.com/topics/ben-rogerson/twin.macro,7300
angular-fullstack,generator-angular-fullstack,https://github.com/topics/angular-fullstack/generator-angular-fullstack,6100
documentationjs,documentation,https://github.com/topics/documentationjs/documentation,5700
insin,nwb,https://github.com/topics/insin/nwb,5600
fkling,astexplorer,https://github.com/topics/fkling/astexplorer,5500
thinkjs,thinkjs,https://github.com/topics/thinkjs/thinkjs,5300
egoist,poi,https://github.com/topics/egoist/poi,5300
transitive-bullshit,create-react-library,https://github.com/topics/transitive-bullshit/create-react-library,4800
duxianwei520,react,https://github.com/topics/duxianwei520/react,4800
babel,babel-loader,https://github.com/topics/babel/babel-loader,4700
