Username,Repo Name,Repo URL,Stars
jlevy,the-art-of-command-line,https://github.com/topics/jlevy/the-art-of-command-line,137000
nvm-sh,nvm,https://github.com/topics/nvm-sh/nvm,67700
junegunn,fzf,https://github.com/topics/junegunn/fzf,52700
google,zx,https://github.com/topics/google/zx,37600
starship,starship,https://github.com/topics/starship/starship,34700
LeCoupa,awesome-cheatsheets,https://github.com/topics/LeCoupa/awesome-cheatsheets,33800
dylanaraps,pure-bash-bible,https://github.com/topics/dylanaraps/pure-bash-bible,33600
koalaman,shellcheck,https://github.com/topics/koalaman/shellcheck,32299
acmesh-official,acme.sh,https://github.com/topics/acmesh-official/acme.sh,32000
mathiasbynens,dotfiles,https://github.com/topics/mathiasbynens/dotfiles,29100
alebcay,awesome-shell,https://github.com/topics/alebcay/awesome-shell,27600
jaywcjlove,linux-command,https://github.com/topics/jaywcjlove/linux-command,24200
withfig,autocomplete,https://github.com/topics/withfig/autocomplete,22100
dylanaraps,neofetch,https://github.com/topics/dylanaraps/neofetch,18200
asdf-vm,asdf,https://github.com/topics/asdf-vm/asdf,17700
Nyr,openvpn-install,https://github.com/topics/Nyr/openvpn-install,17200
rbenv,rbenv,https://github.com/topics/rbenv/rbenv,15100
kingToolbox,WindTerm,https://github.com/topics/kingToolbox/WindTerm,14800
faressoft,terminalizer,https://github.com/topics/faressoft/terminalizer,14200
shelljs,shelljs,https://github.com/topics/shelljs/shelljs,13900
