Username,Repo Name,Repo URL,Stars
ccxt,ccxt,https://github.com/topics/ccxt/ccxt,28400
discordjs,discord.js,https://github.com/topics/discordjs/discord.js,23300
python-telegram-bot,python-telegram-bot,https://github.com/topics/python-telegram-bot/python-telegram-bot,22200
RasaHQ,rasa,https://github.com/topics/RasaHQ/rasa,16500
wechaty,wechaty,https://github.com/topics/wechaty/wechaty,16500
hubotio,hubot,https://github.com/topics/hubotio/hubot,16500
InstaPy,InstaPy,https://github.com/topics/InstaPy/InstaPy,15400
gunthercox,ChatterBot,https://github.com/topics/gunthercox/ChatterBot,13300
Rapptz,discord.py,https://github.com/topics/Rapptz/discord.py,13000
leon-ai,leon,https://github.com/topics/leon-ai/leon,12900
tgbot-collection,YYeTsBot,https://github.com/topics/tgbot-collection/YYeTsBot,12800
howdyai,botkit,https://github.com/topics/howdyai/botkit,11100
pedroslopez,whatsapp-web.js,https://github.com/topics/pedroslopez/whatsapp-web.js,10500
botpress,botpress,https://github.com/topics/botpress/botpress,10400
sfyc23,EverydayWechat,https://github.com/topics/sfyc23/EverydayWechat,9500
Mrs4s,go-cqhttp,https://github.com/topics/Mrs4s/go-cqhttp,8600
microsoft,ailab,https://github.com/topics/microsoft/ailab,7400
lss233,chatgpt-mirai-qq-bot,https://github.com/topics/lss233/chatgpt-mirai-qq-bot,7300
yagop,node-telegram-bot-api,https://github.com/topics/yagop/node-telegram-bot-api,7200
microsoft,botframework-sdk,https://github.com/topics/microsoft/botframework-sdk,7100
