Username,Repo Name,Repo URL,Stars
CyC2018,CS-Notes,https://github.com/topics/CyC2018/CS-Notes,165000
practical-tutorials,project-based-learning,https://github.com/topics/practical-tutorials/project-based-learning,107000
azl397985856,leetcode,https://github.com/topics/azl397985856/leetcode,51400
fffaraz,awesome-cpp,https://github.com/topics/fffaraz/awesome-cpp,46900
x64dbg,x64dbg,https://github.com/topics/x64dbg/x64dbg,40900
youngyangyang04,leetcode-master,https://github.com/topics/youngyangyang04/leetcode-master,39400
Light-City,CPlusPlusThings,https://github.com/topics/Light-City/CPlusPlusThings,30900
carbon-language,carbon-lang,https://github.com/topics/carbon-language/carbon-lang,30600
huihut,interview,https://github.com/topics/huihut/interview,29200
yuzu-emu,yuzu,https://github.com/topics/yuzu-emu/yuzu,29000
CMU-Perceptual-Computing-Lab,openpose,https://github.com/topics/CMU-Perceptual-Computing-Lab/openpose,27300
microsoft,calculator,https://github.com/topics/microsoft/calculator,27200
TheAlgorithms,C-Plus-Plus,https://github.com/topics/TheAlgorithms/C-Plus-Plus,24700
doocs,leetcode,https://github.com/topics/doocs/leetcode,22300
changkun,modern-cpp-tutorial,https://github.com/topics/changkun/modern-cpp-tutorial,21000
ethereum,solidity,https://github.com/topics/ethereum/solidity,20300
dragonflydb,dragonfly,https://github.com/topics/dragonflydb/dragonfly,19700
microsoft,vcpkg,https://github.com/topics/microsoft/vcpkg,18900
gabime,spdlog,https://github.com/topics/gabime/spdlog,18800
ssloy,tinyrenderer,https://github.com/topics/ssloy/tinyrenderer,17100
