Username,Repo Name,Repo URL,Stars
Genymobile,scrcpy,https://github.com/topics/Genymobile/scrcpy,85700
neovim,neovim,https://github.com/topics/neovim/neovim,66600
obsproject,obs-studio,https://github.com/topics/obsproject/obs-studio,48200
fffaraz,awesome-cpp,https://github.com/topics/fffaraz/awesome-cpp,46900
git,git,https://github.com/topics/git/git,46500
FFmpeg,FFmpeg,https://github.com/topics/FFmpeg/FFmpeg,36700
serhii-londar,open-source-mac-os-apps,https://github.com/topics/serhii-londar/open-source-mac-os-apps,35700
vim,vim,https://github.com/topics/vim/vim,30400
curl,curl,https://github.com/topics/curl/curl,30400
huihut,interview,https://github.com/topics/huihut/interview,29200
ggreer,the_silver_searcher,https://github.com/topics/ggreer/the_silver_searcher,24900
pbatard,rufus,https://github.com/topics/pbatard/rufus,23600
mpv-player,mpv,https://github.com/topics/mpv-player/mpv,22600
ossrs,srs,https://github.com/topics/ossrs/srs,21900
google,flatbuffers,https://github.com/topics/google/flatbuffers,20600
ruby,ruby,https://github.com/topics/ruby/ruby,20500
kovidgoyal,kitty,https://github.com/topics/kovidgoyal/kitty,18900
microsoft,vcpkg,https://github.com/topics/microsoft/vcpkg,18900
oracle,graal,https://github.com/topics/oracle/graal,18700
radareorg,radare2,https://github.com/topics/radareorg/radare2,18200
