Username,Repo Name,Repo URL,Stars
CSSEGISandData,COVID-19,https://github.com/topics/CSSEGISandData/COVID-19,29300
nytimes,covid-19-data,https://github.com/topics/nytimes/covid-19-data,7000
covid19india,covid19india-react,https://github.com/topics/covid19india/covid19india-react,6900
Tokyo-Metro-Gov,covid19,https://github.com/topics/Tokyo-Metro-Gov/covid19,6300
owid,covid-19-data,https://github.com/topics/owid/covid-19-data,5600
pcm-dpc,COVID-19,https://github.com/topics/pcm-dpc/COVID-19,3900
ieee8023,covid-chestxray-dataset,https://github.com/topics/ieee8023/covid-chestxray-dataset,2900
disease-sh,API,https://github.com/topics/disease-sh/API,2400
geohot,corona,https://github.com/topics/geohot/corona,2400
WorldHealthOrganization,app,https://github.com/topics/WorldHealthOrganization/app,2100
corona-warn-app,cwa-server,https://github.com/topics/corona-warn-app/cwa-server,1900
ahmadawais,corona-cli,https://github.com/topics/ahmadawais/corona-cli,1900
github,covid19-dashboard,https://github.com/topics/github/covid19-dashboard,1600
ExpDev07,coronavirus-tracker-api,https://github.com/topics/ExpDev07/coronavirus-tracker-api,1600
soroushchehresa,awesome-coronavirus,https://github.com/topics/soroushchehresa/awesome-coronavirus,1500
mhdhejazi,CoronaTracker,https://github.com/topics/mhdhejazi/CoronaTracker,1500
chandrikadeb7,Face-Mask-Detection,https://github.com/topics/chandrikadeb7/Face-Mask-Detection,1400
neherlab,covid19_scenarios,https://github.com/topics/neherlab/covid19_scenarios,1400
chrismattmann,tika-python,https://github.com/topics/chrismattmann/tika-python,1300
cirosantilli,china-dictatorship,https://github.com/topics/cirosantilli/china-dictatorship,1300
