Username,Repo Name,Repo URL,Stars
iamadamdev,bypass-paywalls-chrome,https://github.com/topics/iamadamdev/bypass-paywalls-chrome,38000
jaywcjlove,linux-command,https://github.com/topics/jaywcjlove/linux-command,24200
refined-github,refined-github,https://github.com/topics/refined-github/refined-github,21300
openai-translator,openai-translator,https://github.com/topics/openai-translator/openai-translator,16800
darkreader,darkreader,https://github.com/topics/darkreader/darkreader,16800
checkly,headless-recorder,https://github.com/topics/checkly/headless-recorder,14800
unbug,codelf,https://github.com/topics/unbug/codelf,13600
dailydotdev,daily,https://github.com/topics/dailydotdev/daily,13200
wong2,chatgpt-google-extension,https://github.com/topics/wong2/chatgpt-google-extension,13100
gildas-lormeau,SingleFile,https://github.com/topics/gildas-lormeau/SingleFile,11300
Anarios,return-youtube-dislike,https://github.com/topics/Anarios/return-youtube-dislike,11200
crimx,ext-saladict,https://github.com/topics/crimx/ext-saladict,10800
listen1,listen1_chrome_extension,https://github.com/topics/listen1/listen1_chrome_extension,10200
alyssaxuu,screenity,https://github.com/topics/alyssaxuu/screenity,8300
appbaseio,dejavu,https://github.com/topics/appbaseio/dejavu,8100
josStorer,chatGPTBox,https://github.com/topics/josStorer/chatGPTBox,8100
Kenshin,simpread,https://github.com/topics/Kenshin/simpread,7200
ajayyy,SponsorBlock,https://github.com/topics/ajayyy/SponsorBlock,7100
AutomaApp,automa,https://github.com/topics/AutomaApp/automa,7000
alyssaxuu,omni,https://github.com/topics/alyssaxuu/omni,6300
