Username,Repo Name,Repo URL,Stars
electron,electron,https://github.com/topics/electron/electron,108000
puppeteer,puppeteer,https://github.com/topics/puppeteer/puppeteer,83600
microsoft,playwright,https://github.com/topics/microsoft/playwright,52200
FiloSottile,mkcert,https://github.com/topics/FiloSottile/mkcert,41300
iamadamdev,bypass-paywalls-chrome,https://github.com/topics/iamadamdev/bypass-paywalls-chrome,38000
jaywcjlove,linux-command,https://github.com/topics/jaywcjlove/linux-command,24200
ovity,octotree,https://github.com/topics/ovity/octotree,22500
segmentio,nightmare,https://github.com/topics/segmentio/nightmare,19400
checkly,headless-recorder,https://github.com/topics/checkly/headless-recorder,14800
google,WebFundamentals,https://github.com/topics/google/WebFundamentals,13800
schickling,chromeless,https://github.com/topics/schickling/chromeless,13200
GoogleChrome,chrome-extensions-samples,https://github.com/topics/GoogleChrome/chrome-extensions-samples,12500
casesandberg,react-color,https://github.com/topics/casesandberg/react-color,11400
gildas-lormeau,SingleFile,https://github.com/topics/gildas-lormeau/SingleFile,11300
crimx,ext-saladict,https://github.com/topics/crimx/ext-saladict,10800
MetaMask,metamask-extension,https://github.com/topics/MetaMask/metamask-extension,10100
chromedp,chromedp,https://github.com/topics/chromedp/chromedp,9200
uBlock-LLC,uBlock,https://github.com/topics/uBlock-LLC/uBlock,8100
moonD4rk,HackBrowserData,https://github.com/topics/moonD4rk/HackBrowserData,7900
Kenshin,simpread,https://github.com/topics/Kenshin/simpread,7200
