Username,Repo Name,Repo URL,Stars
metabase,metabase,https://github.com/topics/metabase/metabase,32700
logseq,logseq,https://github.com/topics/logseq/logseq,22900
penpot,penpot,https://github.com/topics/penpot/penpot,22000
deeplearning4j,deeplearning4j,https://github.com/topics/deeplearning4j/deeplearning4j,13000
LightTable,LightTable,https://github.com/topics/LightTable/LightTable,11700
kanaka,mal,https://github.com/topics/kanaka/mal,9400
lk-geimfari,awesomo,https://github.com/topics/lk-geimfari/awesomo,8900
tonsky,datascript,https://github.com/topics/tonsky/datascript,5100
reagent-project,reagent,https://github.com/topics/reagent-project/reagent,4600
riemann,riemann,https://github.com/topics/riemann/riemann,4200
izhangzhihao,intellij-rainbow-brackets,https://github.com/topics/izhangzhihao/intellij-rainbow-brackets,4000
weavejester,compojure,https://github.com/topics/weavejester/compojure,4000
bbatsov,clojure-style-guide,https://github.com/topics/bbatsov/clojure-style-guide,4000
status-im,status-mobile,https://github.com/topics/status-im/status-mobile,3700
ring-clojure,ring,https://github.com/topics/ring-clojure/ring,3600
clojure-emacs,cider,https://github.com/topics/clojure-emacs/cider,3400
babashka,babashka,https://github.com/topics/babashka/babashka,3400
viebel,klipse,https://github.com/topics/viebel/klipse,3000
tallesl,Rich-Hickey-fanclub,https://github.com/topics/tallesl/Rich-Hickey-fanclub,3000
bhauman,lein-figwheel,https://github.com/topics/bhauman/lein-figwheel,2900
