Username,Repo Name,Repo URL,Stars
realm,SwiftLint,https://github.com/topics/realm/SwiftLint,17400
facebook,infer,https://github.com/topics/facebook/infer,14100
analysis-tools-dev,static-analysis,https://github.com/topics/analysis-tools-dev/static-analysis,11400
Kristories,awesome-guidelines,https://github.com/topics/Kristories/awesome-guidelines,8900
SonarSource,sonarqube,https://github.com/topics/SonarSource/sonarqube,7800
checkstyle,checkstyle,https://github.com/topics/checkstyle/checkstyle,7800
reviewdog,reviewdog,https://github.com/topics/reviewdog/reviewdog,6400
facebook,pyre-check,https://github.com/topics/facebook/pyre-check,6400
detekt,detekt,https://github.com/topics/detekt/detekt,5500
import-js,eslint-plugin-import,https://github.com/topics/import-js/eslint-plugin-import,4800
pylint-dev,pylint,https://github.com/topics/pylint-dev/pylint,4700
simplecov-ruby,simplecov,https://github.com/topics/simplecov-ruby/simplecov,4600
trekhleb,state-of-the-art-shitcode,https://github.com/topics/trekhleb/state-of-the-art-shitcode,4600
pmd,pmd,https://github.com/topics/pmd/pmd,4300
phpro,grumphp,https://github.com/topics/phpro/grumphp,4000
kucherenko,jscpd,https://github.com/topics/kucherenko/jscpd,3100
htmlhint,HTMLHint,https://github.com/topics/htmlhint/HTMLHint,3000
codeclimate,codeclimate,https://github.com/topics/codeclimate/codeclimate,2400
wemake-services,wemake-python-styleguide,https://github.com/topics/wemake-services/wemake-python-styleguide,2200
uber,piranha,https://github.com/topics/uber/piranha,2100
