Username,Repo Name,Repo URL,Stars
ovity,octotree,https://github.com/topics/ovity/octotree,22500
gitpod-io,gitpod,https://github.com/topics/gitpod-io/gitpod,11000
reviewdog,reviewdog,https://github.com/topics/reviewdog/reviewdog,6400
danger,danger,https://github.com/topics/danger/danger,5100
danger,danger-js,https://github.com/topics/danger/danger-js,4900
joho,awesome-code-review,https://github.com/topics/joho/awesome-code-review,3900
ajinabraham,nodejsscan,https://github.com/topics/ajinabraham/nodejsscan,2200
microsoft,vscode-pull-request-github,https://github.com/topics/microsoft/vscode-pull-request-github,2100
houndci,hound,https://github.com/topics/houndci/hound,1900
mbj,mutant,https://github.com/topics/mbj/mutant,1900
crev-dev,cargo-crev,https://github.com/topics/crev-dev/cargo-crev,1800
reviewboard,reviewboard,https://github.com/topics/reviewboard/reviewboard,1500
Tencent,CodeAnalysis,https://github.com/topics/Tencent/CodeAnalysis,1400
ryanmcdermott,code-review-tips,https://github.com/topics/ryanmcdermott/code-review-tips,1400
bit4woo,python_sec,https://github.com/topics/bit4woo/python_sec,1200
code-review-checklists,java-concurrency,https://github.com/topics/code-review-checklists/java-concurrency,1200
TeamCodeStream,codestream,https://github.com/topics/TeamCodeStream/codestream,88
jiangsir404,Audit-Learning,https://github.com/topics/jiangsir404/Audit-Learning,86
enlightn,enlightn,https://github.com/topics/enlightn/enlightn,79
palantir,policy-bot,https://github.com/topics/palantir/policy-bot,62
