Username,Repo Name,Repo URL,Stars
ohmyzsh,ohmyzsh,https://github.com/topics/ohmyzsh/ohmyzsh,160000
junegunn,fzf,https://github.com/topics/junegunn/fzf,52700
sherlock-project,sherlock,https://github.com/topics/sherlock-project/sherlock,41700
sharkdp,bat,https://github.com/topics/sharkdp/bat,41600
BurntSushi,ripgrep,https://github.com/topics/BurntSushi/ripgrep,38300
google,zx,https://github.com/topics/google/zx,37600
wagoodman,dive,https://github.com/topics/wagoodman/dive,37100
jesseduffield,lazygit,https://github.com/topics/jesseduffield/lazygit,35700
chubin,cheat.sh,https://github.com/topics/chubin/cheat.sh,35400
cli,cli,https://github.com/topics/cli/cli,32500
spf13,cobra,https://github.com/topics/spf13/cobra,32200
n8n-io,n8n,https://github.com/topics/n8n-io/n8n,31100
httpie,httpie,https://github.com/topics/httpie/httpie,28100
sharkdp,fd,https://github.com/topics/sharkdp/fd,27800
alebcay,awesome-shell,https://github.com/topics/alebcay/awesome-shell,27600
ibraheemdev,modern-unix,https://github.com/topics/ibraheemdev/modern-unix,26900
acheong08,ChatGPT,https://github.com/topics/acheong08/ChatGPT,26200
angular,angular-cli,https://github.com/topics/angular/angular-cli,26100
tqdm,tqdm,https://github.com/topics/tqdm/tqdm,25000
google,python-fire,https://github.com/topics/google/python-fire,24700
