Username,Repo Name,Repo URL,Stars
vercel,next.js,https://github.com/topics/vercel/next.js,108000
rust-lang,rust,https://github.com/topics/rust-lang/rust,82600
sveltejs,svelte,https://github.com/topics/sveltejs/svelte,68400
webpack,webpack,https://github.com/topics/webpack/webpack,63100
gatsbyjs,gatsby,https://github.com/topics/gatsbyjs/gatsby,54500
JetBrains,kotlin,https://github.com/topics/JetBrains/kotlin,44900
parcel-bundler,parcel,https://github.com/topics/parcel-bundler/parcel,42400
babel,babel,https://github.com/topics/babel/babel,42300
evanw,esbuild,https://github.com/topics/evanw/esbuild,35500
vlang,v,https://github.com/topics/vlang/v,33800
carbon-language,carbon-lang,https://github.com/topics/carbon-language/carbon-lang,30600
markedjs,marked,https://github.com/topics/markedjs/marked,29900
swc-project,swc,https://github.com/topics/swc-project/swc,27600
vercel,pkg,https://github.com/topics/vercel/pkg,23400
ziglang,zig,https://github.com/topics/ziglang/zig,22800
v8,v8,https://github.com/topics/v8/v8,21300
typst,typst,https://github.com/topics/typst/typst,18700
AssemblyScript,assemblyscript,https://github.com/topics/AssemblyScript/assemblyscript,15600
RustPython,RustPython,https://github.com/topics/RustPython/RustPython,15100
nim-lang,Nim,https://github.com/topics/nim-lang/Nim,15100
