Username,Repo Name,Repo URL,Stars
localstack,localstack,https://github.com/topics/localstack/localstack,47400
harness,drone,https://github.com/topics/harness/drone,27000
jenkinsci,jenkins,https://github.com/topics/jenkinsci/jenkins,20900
auchenberg,volkswagen,https://github.com/topics/auchenberg/volkswagen,12700
theonedev,onedev,https://github.com/topics/theonedev/onedev,11300
dagger,dagger,https://github.com/topics/dagger/dagger,8400
openshift,origin,https://github.com/topics/openshift/origin,8300
concourse,concourse,https://github.com/topics/concourse/concourse,6900
gocd,gocd,https://github.com/topics/gocd/gocd,6800
milanm,DevOps-Roadmap,https://github.com/topics/milanm/DevOps-Roadmap,5300
gaia-pipeline,gaia,https://github.com/topics/gaia-pipeline/gaia,5100
buildbot,buildbot,https://github.com/topics/buildbot/buildbot,5100
Strider-CD,strider,https://github.com/topics/Strider-CD/strider,4600
jenkins-x,jx,https://github.com/topics/jenkins-x/jx,4400
ovh,cds,https://github.com/topics/ovh/cds,4200
xcpretty,xcpretty,https://github.com/topics/xcpretty/xcpretty,3800
hygieia,hygieia,https://github.com/topics/hygieia/hygieia,3800
iterative,cml,https://github.com/topics/iterative/cml,3700
JamesIves,github-pages-deploy-action,https://github.com/topics/JamesIves/github-pages-deploy-action,3700
werf,werf,https://github.com/topics/werf/werf,3600
